,precision,recall,f1-score,support
blight,0.34605409410892923,0.6358066712049013,0.44817658349328215,1469.0
healthy,1.0,1.0,1.0,2919.0
mildew,0.14,0.02,0.035,700.0
mosaic,0.2317241379310345,0.15879017013232513,0.18844643858665172,1058.0
rust,0.2509907529722589,0.18026565464895636,0.2098288238542242,1054.0
accuracy,0.5868055555555556,0.5868055555555556,0.5868055555555556,0.5868055555555556
macro avg,0.39375379700244456,0.39897249919723654,0.3762903691868316,7200.0
weighted avg,0.5604252577513629,0.5868055555555556,0.5586676824331475,7200.0
